,iso_code,continent,location,date,total_cases,total_deaths,population,population_density,median_age,gdp_per_capita,life_expectancy,human_development_index,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand
132,BEL,Europe,Belgium,2022-06-09,4170252.0,31816.0,11632334.0,375.564,41.8,42658.575999999994,81.63,0.9309999999999999,114.898,4.29,5.64
133,AUT,Europe,Austria,2022-06-09,4311116.0,19960.0,9043072.0,106.749,44.4,45436.685999999994,81.54,0.922,145.183,6.35,7.37
134,THA,Asia,Thailand,2022-06-09,4479888.0,30286.0,69950844.0,135.132,40.1,16277.671,77.15,0.777,109.861,7.04,2.1
135,MYS,Asia,Malaysia,2022-06-09,4520852.0,35708.0,32776195.0,96.25399999999999,29.9,26808.164,76.16,0.81,260.942,16.74,1.9
136,PRT,Europe,Portugal,2022-06-09,4894982.0,23489.0,10167923.0,112.37100000000001,46.2,27936.896,82.05,0.8640000000000001,127.84200000000001,9.85,3.39
137,UKR,Europe,Ukraine,2022-06-09,5040518.0,112459.0,43466822.0,77.39,41.4,7894.393,72.06,0.779,539.849,7.11,8.8
138,MEX,North America,Mexico,2022-06-09,5802672.0,325055.0,130262220.0,66.444,29.3,17336.468999999997,75.05,0.779,152.783,13.06,1.38
139,POL,Europe,Poland,2022-06-09,6009479.0,116368.0,37797000.0,124.027,41.8,27216.445,78.73,0.88,227.331,5.91,6.62
140,IDN,Asia,Indonesia,2022-06-09,6056017.0,156604.0,276361788.0,145.725,29.3,11188.743999999999,71.72,0.718,342.86400000000003,6.32,1.04
141,COL,South America,Colombia,2022-06-09,6117847.0,139894.0,51265841.0,44.223,32.2,13254.948999999999,77.29,0.767,124.24,7.44,1.71
142,IRN,Asia,Iran,2022-06-09,7233319.0,141343.0,85028760.0,49.831,32.4,19082.62,76.68,0.7829999999999999,270.308,9.59,1.5
143,AUS,Oceania,Australia,2022-06-09,7571629.0,8959.0,25788217.0,3.202,37.9,44648.71,83.44,0.9440000000000001,107.791,5.07,3.84
144,NLD,Europe,Netherlands,2022-06-09,8109953.0,22416.0,17173094.0,508.54400000000004,43.2,48472.545,82.28,0.9440000000000001,109.361,5.29,3.32
145,JPN,Asia,Japan,2022-06-09,8995359.0,30843.0,126050796.0,347.778,48.2,39002.223,84.63,0.919,79.37,5.72,13.05
146,ARG,South America,Argentina,2022-06-09,9276618.0,128973.0,45605823.0,16.177,31.9,18933.907,76.67,0.845,191.032,5.5,5.0
147,VNM,Asia,Vietnam,2022-06-09,10728720.0,43081.0,98168829.0,308.127,32.6,6171.884,75.4,0.7040000000000001,245.465,6.0,2.6
148,ESP,Europe,Spain,2022-06-09,12436538.0,106914.0,46745211.0,93.105,45.5,34272.36,83.56,0.904,99.40299999999999,7.17,2.97
149,TUR,Asia,Turkey,2022-06-09,15072747.0,98965.0,85042736.0,104.914,31.6,25129.341,77.69,0.82,171.285,12.13,2.81
150,ITA,Europe,Italy,2022-06-09,17589595.0,167253.0,60367471.0,205.859,47.9,35220.084,83.51,0.892,113.15100000000001,4.78,3.18
151,RUS,Europe,Russia,2022-06-09,18097767.0,372136.0,145912022.0,8.823,39.6,24765.953999999998,72.58,0.8240000000000001,431.29699999999997,6.18,8.05
152,KOR,Asia,South Korea,2022-06-09,18209650.0,24341.0,51305184.0,527.967,43.4,35938.373999999996,83.03,0.9159999999999999,85.99799999999999,6.8,12.27
153,GBR,Europe,United Kingdom,2022-06-09,22449760.0,179341.0,68207114.0,272.89799999999997,40.8,39753.244,81.32,0.932,122.137,4.28,2.54
154,DEU,Europe,Germany,2022-06-09,26738530.0,139729.0,83900471.0,237.016,46.6,45229.245,81.33,0.9470000000000001,156.139,8.31,8.0
155,FRA,Europe,France,2022-06-09,29807699.0,148779.0,67422000.0,122.57799999999999,42.0,38605.671,82.66,0.9009999999999999,86.06,4.77,5.98
156,BRA,South America,Brazil,2022-06-09,31360850.0,667790.0,213993441.0,25.04,33.5,14103.452,75.88,0.765,177.96099999999998,8.11,2.2
157,IND,Asia,India,2022-06-09,43205106.0,524747.0,1393409033.0,450.41900000000004,28.2,6426.674,69.66,0.645,282.28,10.39,0.53
158,USA,North America,United States,2022-06-09,85329656.0,1010805.0,332915074.0,35.608000000000004,38.3,54225.445999999996,78.86,0.9259999999999999,151.089,10.79,2.77
